State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Florida,"Leesburg, FL",34788,278,https://www.homedepot.com/l/Leesburg-FL/FL/Leesburg/34788/278,74.3,92.3,86.4,0.27,63.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Marathon,33050,6302,https://www.homedepot.com/l/Marathon/FL/Marathon/33050/6302,70.7,85.1,85.1,0.3,71.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,SE
Florida,Melbourne,32904,260,https://www.homedepot.com/l/Melbourne/FL/West-Melbourne/32904/260,79.3,86.0,84.2,0.12,78.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,SE
Florida,Merritt Island,32953,234,https://www.homedepot.com/l/Merritt-Island/FL/Merritt-Island/32953/234,77.4,88.2,85.2,0.05,77.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Miami (calle Ocho),33135,277,https://www.homedepot.com/l/Miami-calle-Ocho/FL/Miami/33135/277,84.0,88.9,87.2,0.0,66.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Middleburg,32068,6935,https://www.homedepot.com/l/Middleburg/FL/Middleburg/32068/6935,78.6,95.4,90.6,0.01,63.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Millenia,32839,6367,https://www.homedepot.com/l/Millenia/FL/Orlando/32839/6367,79.7,95.4,89.7,0.0,58.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Miramar,33027,6353,https://www.homedepot.com/l/Miramar/FL/Miramar/33027/6353,84.7,90.7,88.6,0.0,61.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,N Hollywood/Stirling,33020,6310,https://www.homedepot.com/l/N-Hollywood-Stirling/FL/Hollywood/33020/6310,84.6,88.9,87.3,0.02,64.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,SE
Florida,N Jacksonville,32218,6351,https://www.homedepot.com/l/N-Jacksonville/FL/Jacksonville/32218/6351,76.1,92.8,88.3,0.0,64.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,N Lauderdale,33068,6312,https://www.homedepot.com/l/N-Lauderdale/FL/North-Lauderdale/33068/6312,84.6,92.1,89.4,0.0,59.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,N Melbourne,32940,6381,https://www.homedepot.com/l/N-Melbourne/FL/Melbourne/32940/6381,80.4,84.7,83.6,0.06,78.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
