State,City,Zipcode,Store Number,URL
Arizona,Tucson,85710,410,https://www.homedepot.com/l/Tucson/AZ/Tucson/85710/410
Arizona,Tucson / Oracle,85705,414,https://www.homedepot.com/l/Tucson-Oracle/AZ/Tucson/85705/414
Arizona,W Bell Rd,85308,459,https://www.homedepot.com/l/W-Bell-Rd/AZ/Glendale/85308/459
Arizona,Yuma,85365,402,https://www.homedepot.com/l/Yuma/AZ/Yuma/85365/402
Arkansas,Batesville,72501,1411,https://www.homedepot.com/l/Batesville/AR/Batesville/72501/1411
Arkansas,Benton,72019,1405,https://www.homedepot.com/l/Benton/AR/Benton/72019/1405
Arkansas,Cabot,72023,1412,https://www.homedepot.com/l/Cabot/AR/Cabot/72023/1412
Arkansas,Conway,72032,1407,https://www.homedepot.com/l/Conway/AR/Conway/72032/1407
Arkansas,El Dorado,71730,8537,https://www.homedepot.com/l/El-Dorado/AR/El-Dorado/71730/8537
Arkansas,"Fayetteville, AR",72703,1403,https://www.homedepot.com/l/Fayetteville-AR/AR/Fayetteville/72703/1403
Arkansas,Fort Smith,72903,1404,https://www.homedepot.com/l/Fort-Smith/AR/Fort-Smith/72903/1404
Arkansas,"Harrison,AR",72601,1409,https://www.homedepot.com/l/Harrison-AR/AR/Harrison/72601/1409
Arkansas,"Jonesboro,AR",72404,1406,https://www.homedepot.com/l/Jonesboro-AR/AR/Jonesboro/72404/1406
Arkansas,Mountain Home,72653,1410,https://www.homedepot.com/l/Mountain-Home/AR/Mountain-Home/72653/1410
Arkansas,N Little Rock,72117,1402,https://www.homedepot.com/l/N-Little-Rock/AR/North-Little-Rock/72117/1402
Arkansas,Rogers,72758,8445,https://www.homedepot.com/l/Rogers/AR/Rogers/72758/8445
Arkansas,S Little Rock,72209,8919,https://www.homedepot.com/l/S-Little-Rock/AR/Little-Rock/72209/8919
Arkansas,W Little Rock,72211,1401,https://www.homedepot.com/l/W-Little-Rock/AR/Little-Rock/72211/1401
California,Alhambra,91803,6610,https://www.homedepot.com/l/Alhambra/CA/Alhambra/91803/6610
California,Anaheim,92801,6647,https://www.homedepot.com/l/Anaheim/CA/Anaheim/92801/6647
California,Anaheim Hills,92807,6643,https://www.homedepot.com/l/Anaheim-Hills/CA/Anaheim/92807/6643
California,Antelope,95842,6669,https://www.homedepot.com/l/Antelope/CA/Sacramento/95842/6669
California,"Apple Valley,CA",92308,6834,https://www.homedepot.com/l/Apple-Valley-CA/CA/Apple-Valley/92308/6834
California,Arden Arcade,95825,6966,https://www.homedepot.com/l/Arden-Arcade/CA/Sacramento/95825/6966
California,Atascadero,93422,1031,https://www.homedepot.com/l/Atascadero/CA/Atascadero/93422/1031
California,"Auburn,CA",95603,8597,https://www.homedepot.com/l/Auburn-CA/CA/Auburn/95603/8597
California,Bakersfield Central,93309,1050,https://www.homedepot.com/l/Bakersfield-Central/CA/Bakersfield/93309/1050
California,Baldwin Park,91706,6663,https://www.homedepot.com/l/Baldwin-Park/CA/Baldwin-Park/91706/6663
California,Barstow,92311,6972,https://www.homedepot.com/l/Barstow/CA/Barstow/92311/6972
California,"Beaumont, CA",92223,8987,https://www.homedepot.com/l/Beaumont-CA/CA/Beaumont/92223/8987
California,Bollinger,95129,6635,https://www.homedepot.com/l/Bollinger/CA/San-Jose/95129/6635
California,"Brentwood,CA",94513,1076,https://www.homedepot.com/l/Brentwood-CA/CA/Brentwood/94513/1076
California,Burbank,91502,6654,https://www.homedepot.com/l/Burbank/CA/Burbank/91502/6654
California,Camarillo,93010,1012,https://www.homedepot.com/l/Camarillo/CA/Camarillo/93010/1012
California,Campbell,95008,642,https://www.homedepot.com/l/Campbell/CA/Campbell/95008/642
California,Canoga Park,91304,612,https://www.homedepot.com/l/Canoga-Park/CA/Canoga-Park/91304/612
California,Capitol Expressway,95136,6621,https://www.homedepot.com/l/Capitol-Expressway/CA/San-Jose/95136/6621
California,Carmel Mtn,92128,669,https://www.homedepot.com/l/Carmel-Mtn/CA/San-Diego/92128/669
California,Carmichael,95608,650,https://www.homedepot.com/l/Carmichael/CA/Carmichael/95608/650
California,Carson,90745,6670,https://www.homedepot.com/l/Carson/CA/Carson/90745/6670
California,Ceres,95351,6947,https://www.homedepot.com/l/Ceres/CA/Modesto/95351/6947
California,Cerritos,90703,608,https://www.homedepot.com/l/Cerritos/CA/Cerritos/90703/608
California,Chico,95928,6609,https://www.homedepot.com/l/Chico/CA/Chico/95928/6609
California,Chula Vista,91910,658,https://www.homedepot.com/l/Chula-Vista/CA/Chula-Vista/91910/658
California,Clovis,93612,664,https://www.homedepot.com/l/Clovis/CA/Clovis/93612/664
California,Colma II,94014,639,https://www.homedepot.com/l/Colma-II/CA/Colma/94014/639
California,Commerce,90040,654,https://www.homedepot.com/l/Commerce/CA/Commerce/90040/654
California,Compton,90220,1858,https://www.homedepot.com/l/Compton/CA/Compton/90220/1858
California,Concord,94520,634,https://www.homedepot.com/l/Concord/CA/Concord/94520/634
California,Corona,92879,601,https://www.homedepot.com/l/Corona/CA/Corona/92879/601
California,Costa Mesa,92626,6664,https://www.homedepot.com/l/Costa-Mesa/CA/Costa-Mesa/92626/6664
California,Covina,91722,1845,https://www.homedepot.com/l/Covina/CA/Covina/91722/1845
California,Crescent City,95531,8524,https://www.homedepot.com/l/Crescent-City/CA/Crescent-City/95531/8524
California,Cypress,90630,6650,https://www.homedepot.com/l/Cypress/CA/Cypress/90630/6650
California,Cypress Park,90065,6689,https://www.homedepot.com/l/Cypress-Park/CA/Los-Angeles/90065/6689
California,Daly City,94015,1092,https://www.homedepot.com/l/Daly-City/CA/Daly-City/94015/1092
California,Delano,93215,8426,https://www.homedepot.com/l/Delano/CA/Delano/93215/8426
California,Downey,90241,6627,https://www.homedepot.com/l/Downey/CA/Downey/90241/6627
California,E Palmdale,93552,6883,https://www.homedepot.com/l/E-Palmdale/CA/Palmdale/93552/6883
California,E Palo Alto,94303,6603,https://www.homedepot.com/l/E-Palo-Alto/CA/East-Palo-Alto/94303/6603
California,East Brea,92821,1072,https://www.homedepot.com/l/East-Brea/CA/Brea/92821/1072
California,East Irvine,92620,8525,https://www.homedepot.com/l/East-Irvine/CA/Irvine/92620/8525
California,East San Jose,95127,6672,https://www.homedepot.com/l/East-San-Jose/CA/San-Jose/95127/6672
California,Eastlake,91915,1030,https://www.homedepot.com/l/Eastlake/CA/Chula-Vista/91915/1030
California,Eastvale,91752,1084,https://www.homedepot.com/l/Eastvale/CA/Mira-Loma/91752/1084
California,El Cajon (r676),92020,1848,https://www.homedepot.com/l/El-Cajon-r676/CA/El-Cajon/92020/1848
California,El Centro,92243,1059,https://www.homedepot.com/l/El-Centro/CA/El-Centro/92243/1059
California,El Cerrito,94530,643,https://www.homedepot.com/l/El-Cerrito/CA/El-Cerrito/94530/643
California,El Monte,91731,6673,https://www.homedepot.com/l/El-Monte/CA/El-Monte/91731/6673
California,El Toro,92630,1840,https://www.homedepot.com/l/El-Toro/CA/Lake-Forest/92630/1840
California,Elk Grove,95758,6674,https://www.homedepot.com/l/Elk-Grove/CA/Elk-Grove/95758/6674
California,Emeryville,94608,627,https://www.homedepot.com/l/Emeryville/CA/Emeryville/94608/627
California,Encinitas,92024,660,https://www.homedepot.com/l/Encinitas/CA/Encinitas/92024/660
California,Escondido,92029,6612,https://www.homedepot.com/l/Escondido/CA/Escondido/92029/6612
California,Escondido II,92027,1053,https://www.homedepot.com/l/Escondido-II/CA/Escondido/92027/1053
California,"Fairfield, CA",94533,637,https://www.homedepot.com/l/Fairfield-CA/CA/Fairfield/94533/637
California,Fairmount Ave,92120,6634,https://www.homedepot.com/l/Fairmount-Ave/CA/San-Diego/92120/6634
California,Florin Rd,95823,651,https://www.homedepot.com/l/Florin-Rd/CA/Sacramento/95823/651
California,Folsom,95630,6675,https://www.homedepot.com/l/Folsom/CA/Folsom/95630/6675
California,Fremont,94538,6636,https://www.homedepot.com/l/Fremont/CA/Fremont/94538/6636
California,Fresno,93711,663,https://www.homedepot.com/l/Fresno/CA/Fresno/93711/663
California,Fullerton (relo 682),92831,6893,https://www.homedepot.com/l/Fullerton-relo-682/CA/Fullerton/92831/6893
California,Garden Grove,92843,6639,https://www.homedepot.com/l/Garden-Grove/CA/Garden-Grove/92843/6639
California,Gardena,90248,611,https://www.homedepot.com/l/Gardena/CA/Gardena/90248/611
California,Genesee,92117,680,https://www.homedepot.com/l/Genesee/CA/San-Diego/92117/680
